Id,Video Name,Completion time,Espresso Extraction Level,"Was There Channeling, Spraying or Fast Blonding?"
1,1.mov,2026-04-01 11:34:14,Ideal,No
2,2.mov,2026-03-10 10:04:18,Ideal,No
3,3.mp4,2026-03-10 10:04:50,Ideal,No
4,4.mp4,2026-03-11 12:31:37,Ideal,No
5,5.mp4,2026-03-11 12:33:24,Under-Extracted,Yes
6,6.mp4,2026-03-11 12:35:22,Over-Extracted,No
7,7.mp4,2026-03-11 12:38:12,Over-Extracted,No
8,8.mov,2026-03-24 20:41:12,Ideal,No
9,9.mov,2026-03-24 21:21:31,Ideal,No
10,10.mov,2026-03-24 21:23:03,Ideal,No
11,11.mov,2026-04-01 11:34:14,Ideal,No
12,12.mov,2026-04-03 13:19:42,Under-Extracted,Yes
13,13.mov,2026-04-16 11:34:40,Ideal,No
14,14.mov,2026-04-16 11:36:43,Ideal,No
15,15.mov,2026-04-16 11:38:33,Under-Extracted,No
16,16.mov,2026-04-23 00:54:09,Ideal,No
17,17.mov,2026-04-23 00:55:56,Over-Extracted,Yes
18,18.mov,2026-04-23 00:56:51,Over-Extracted,No
19,19.mov,2026-04-23 00:57:44,Over-Extracted,Yes
20,20.mov,2026-04-23 00:58:43,Over-Extracted,Yes
21,21.mov,2026-04-23 01:00:19,Over-Extracted,Yes
22,22.mov,2026-04-23 01:01:31,Over-Extracted,No
23,23.mov,2026-04-23 01:02:07,Over-Extracted,No
24,24.mov,2026-04-23 01:03:32,Over-Extracted,Yes
25,25.mov,2026-04-23 01:04:45,Under-Extracted,Yes
26,26.mov,2026-04-23 01:05:57,Over-Extracted,Yes
27,27.mov,2026-04-23 01:07:04,Under-Extracted,Yes
28,28.mov,2026-04-23 01:08:42,Under-Extracted,Yes
29,29.mov,2026-04-26 13:34:27,Over-Extracted,No
30,30.mov,2026-04-23 01:11:46,Under-Extracted,Yes
31,31.mov,2026-04-23 01:14:24,Ideal,Yes
32,32.mov,2026-04-23 01:17:48,Ideal,Yes
33,33.mov,2026-04-23 01:19:56,Over-Extracted,No
34,34.mov,2026-04-23 01:21:39,Over-Extracted,No
35,35.mov,2026-04-23 01:23:20,Over-Extracted,No
36,36.mov,2026-04-23 01:24:58,Ideal,No
37,37.mov,2026-04-23 01:26:32,Ideal,No
38,38.mov,2026-04-23 01:27:47,Ideal,No
39,39.mov,2026-04-23 01:28:49,Ideal,No
40,40.mov,2026-04-23 01:30:07,Ideal,No
41,41.mov,2026-04-16 11:36:43,Ideal,No
42,42.mov,2026-04-26 03:20:05,Ideal,No
43,43.mov,2026-04-26 03:22:23,Ideal,No
44,44.mov,2026-04-26 03:24:50,Ideal,No
45,45.mov,2026-04-26 03:26:56,Ideal,No
46,46.mov,2026-04-26 03:28:08,Ideal,No
47,47.mov,2026-04-26 03:30:45,Ideal,No
48,48.mov,2026-04-26 03:39:03,Ideal,Yes
49,49.mov,2026-04-26 03:40:42,Ideal,No
50,50.mov,2026-04-26 03:42:13,Ideal,No
51,51.mov,2026-04-26 03:42:58,Ideal,No
52,52.mov,2026-04-26 03:43:47,Ideal,No
53,53.mov,2026-04-26 03:44:37,Ideal,No
54,54.mov,2026-04-26 03:45:53,Ideal,No
55,55.mov,2026-04-26 03:46:32,Ideal,No
56,56.mov,2026-04-26 03:48:09,Under-Extracted,Yes
57,57.mov,2026-04-26 03:50:08,Under-Extracted,Yes
58,58.mov,2026-04-26 03:50:45,Under-Extracted,Yes
59,59.mov,2026-04-26 03:51:22,Under-Extracted,Yes
60,60.mov,2026-04-26 03:52:10,Under-Extracted,Yes
61,61.mov,2026-04-26 03:52:52,Under-Extracted,Yes
62,62.mov,2026-04-26 03:54:16,Under-Extracted,Yes
63,63.mov,2026-04-26 03:55:18,Ideal,Yes
64,64.mov,2026-04-26 03:56:25,Over-Extracted,No
65,65.mov,2026-04-26 13:21:06,Ideal,No
66,66.mov,2026-04-26 13:24:42,Ideal,No
67,67.mov,2026-04-26 13:32:49,Under-Extracted,Yes
68,68.mov,2026-04-26 13:34:27,Over-Extracted,No
69,69.mov,2026-04-01 11:34:14,Ideal,No
70,70.mov,2026-04-26 16:05:33,Under-Extracted,Yes
71,71.mov,2026-04-26 16:09:01,Over-Extracted,No
72,72.mov,2026-04-26 16:12:05,Ideal,Yes
73,73.mov,2026-04-26 16:14:47,Ideal,No
74,74.mov,2026-04-26 16:16:22,Under-Extracted,Yes
75,75.mov,2026-04-26 16:18:40,Under-Extracted,Yes
76,76.mov,2026-04-26 16:20:28,Ideal,No
77,77.mov,2026-04-26 13:21:06,Ideal,No
78,78.mov,2026-04-26 13:21:06,Ideal,No
79,79.mov,2026-04-26 13:21:06,Ideal,No
80,80.mov,2026-04-26 13:24:42,Ideal,No
81,81.mov,2026-04-01 11:34:14,Ideal,No
82,82.mov,2026-04-01 11:34:14,Ideal,No
